
| Identificador | Nombre completo                                                                                                                           |                                   Sección                                    |
| ------------- | ----------------------------------------------------------------------------------------------------------------------------------------- | :--------------------------------------------------------------------------: |
| **polintr**   | Qué interesado en la política                                                                                                             |                                   Política                                   |
| **psppsgva**  | El sistema político permite a la gente opinar sobre lo que hace el gobierno                                                               |                                   Política                                   |
| **actrolga**  | Capaz de tomar un papel activo en el grupo político                                                                                       |                                   Política                                   |
| **psppipla**  | El sistema político permite que las personas tengan influencia en la política                                                             |                                   Política                                   |
| **cptppola**  | Confiado en su propia capacidad para participar en política                                                                               |                                   Política                                   |
| **trstlgl**   | Confianza en el sistema legal                                                                                                             |                                   Política                                   |
| **trstplc**   | Confía en la policía                                                                                                                      |                                   Política                                   |
| **trstplt**   | Confianza en los políticos                                                                                                                |                                   Política                                   |
| **trstep**    | Confianza en el Parlamento Europeo                                                                                                        |                                   Política                                   |
| **trstun**    | Confianza en las Naciones Unidas                                                                                                          |                                   Política                                   |
| **trstprt**   | Confianza en los partidos políticos                                                                                                       |                                   Política                                   |
| **trstprl**   | Confianza en el parlamento del país                                                                                                       |                                   Política                                   |
| **vote**      | Votado en las últimas elecciones nacionales                                                                                               |                                   Política                                   |
| **prtvtbat**  | Partido votado en las últimas elecciones nacionales, Austria                                                                              |                                   Política                                   |
| **prtvtcbe**  | Partido votado en las últimas elecciones nacionales, Bélgica                                                                              |                                   Política                                   |
| **prtvtfch**  | Partido votado en las últimas elecciones nacionales, Suiza                                                                                |                                   Política                                   |
| **prtvtdcz**  | Partido votado en las últimas elecciones nacionales, Chequia                                                                              |                                   Política                                   |
| **prtvede1**  | Partido votado en las últimas elecciones nacionales 1, Alemania                                                                           |                                   Política                                   |
| **prtvede2**  | Partido votado en las últimas elecciones nacionales 2, Alemania                                                                           |                                   Política                                   |
| **prtvtfee**  | Partido votado en las últimas elecciones nacionales, Estonia                                                                              |                                   Política                                   |
| **prtvtdes**  | Partido votado en las últimas elecciones nacionales, España                                                                               |                                   Política                                   |
| **prtvtdfi**  | Partido votado en las últimas elecciones nacionales, Finlandia                                                                            |                                   Política                                   |
| **prtvtcfr**  | Partido votado en las últimas elecciones nacionales, Francia (votación 1)                                                                 |                                   Política                                   |
| **prtvtbgb**  | Partido votado en las últimas elecciones nacionales, Reino Unido                                                                          |                                   Política                                   |
| **prtvtehu**  | Partido votado en las últimas elecciones nacionales, Hungría                                                                              |                                   Política                                   |
| **prtvtbie**  | Partido votado en las últimas elecciones nacionales, Irlanda                                                                              |                                   Política                                   |
| **prtvtcil**  | Partido votado en las últimas elecciones nacionales, Israel                                                                               |                                   Política                                   |
| **prtvtbis**  | Partido votado en las últimas elecciones nacionales, Islandia                                                                             |                                   Política                                   |
| **prtvtbit**  | Partido votado en las últimas elecciones nacionales, Italia                                                                               |                                   Política                                   |
| **prtvblt1**  | Partido votado en las últimas elecciones nacionales 1, Lituania (primera votación, partido)                                               |                                   Política                                   |
| **prtvblt2**  | Partido votado en las últimas elecciones nacionales 2, Lituania (segunda votación, partido)                                               |                                   Política                                   |
| **prtvblt3**  | Partido votado en las últimas elecciones nacionales 3, Lituania (tercera votación, partido)                                               |                                   Política                                   |
| **prtvtfnl**  | Partido votado en las últimas elecciones nacionales, Países Bajos                                                                         |                                   Política                                   |
| **prtvtbno**  | Partido votado en las últimas elecciones nacionales, Noruega                                                                              |                                   Política                                   |
| **prtvtdpl**  | Partido votado en las últimas elecciones nacionales, Polonia                                                                              |                                   Política                                   |
| **prtvtcpt**  | Partido votado en las últimas elecciones nacionales, Portugal                                                                             |                                   Política                                   |
| **prtvtdru**  | Partido votado en las últimas elecciones nacionales, Federación de Rusia                                                                  |                                   Política                                   |
| **prtvtbse**  | Partido votado en las últimas elecciones nacionales, Suecia                                                                               |                                   Política                                   |
| **prtvtesi**  | Partido votado en las últimas elecciones nacionales, Eslovenia                                                                            |                                   Política                                   |
| **contplt**   | Político o funcionario gubernamental contactado los últimos 12 meses                                                                      |                                   Política                                   |
| **wrkprty**   | Trabajó en un partido político o grupo de acción durante los últimos 12 meses                                                             |                                   Política                                   |
| **wrkorg**    | Trabajó en otra organización o asociación durante los últimos 12 meses                                                                    |                                   Política                                   |
| **insignia**  | insignia/pegatina de campaña usada o exhibida durante los últimos 12 meses                                                                |                                   Política                                   |
| **sgnptit**   | Petición firmada los últimos 12 meses                                                                                                     |                                   Política                                   |
| **pbldmn**    | Participó en manifestación pública legal los últimos 12 meses                                                                             |                                   Política                                   |
| **bctprd**    | Los productos boicoteados duran 12 meses                                                                                                  |                                   Política                                   |
| **pstplonl**  | Publicó o compartió algo sobre política en línea los últimos 12 meses                                                                     |                                   Política                                   |
| **clsprty**   | Siéntete más cerca de un partido en particular que de todos los demás partidos                                                            |                                   Política                                   |
| **prtclcat**  | ¿A qué partido se siente más cercano, Austria                                                                                             |                                   Política                                   |
| **prtclcbe**  | A qué partido se siente más cercano, Bélgica                                                                                              |                                   Política                                   |
| **prtclfch**  | ¿A qué partido se siente más cercano, Suiza                                                                                               |                                   Política                                   |
| **prtcldcz**  | A qué partido se siente más cercano, Chequia                                                                                              |                                   Política                                   |
| **prtclede**  | ¿A qué partido se siente más cercano, Alemania                                                                                            |                                   Política                                   |
| **prtclfee**  | A qué partido se siente más cercano, Estonia                                                                                              |                                   Política                                   |
| **prtclees**  | A qué partido se siente más cercano, España                                                                                               |                                   Política                                   |
| **prtcldfi**  | ¿A qué partido se siente más cercano, Finlandia                                                                                           |                                   Política                                   |
| **prtclefr**  | ¿A qué partido se siente más cercano, Francia                                                                                             |                                   Política                                   |
| **prtclbgb**  | A qué partido se siente más cercano, Reino Unido                                                                                          |                                   Política                                   |
| **prtclfhu**  | ¿A qué partido se siente más cercano, Hungría                                                                                             |                                   Política                                   |
| **prtcldie**  | ¿A qué partido se siente más cercano, Irlanda                                                                                             |                                   Política                                   |
| **prtcldil**  | ¿A qué partido se siente más cercano, Israel                                                                                              |                                   Política                                   |
| **prtclbis**  | A qué partido se siente más cercano, Islandia                                                                                             |                                   Política                                   |
| **prtclcit**  | A qué partido se siente más cercano, Italia                                                                                               |                                   Política                                   |
| **prtclblt**  | A qué partido se siente más cercano, Lituania                                                                                             |                                   Política                                   |
| **prtclenl**  | A qué partido se siente más cercano, Países Bajos                                                                                         |                                   Política                                   |
| **prtclbno**  | ¿A qué partido se siente más cercano, Noruega                                                                                             |                                   Política                                   |
| **prtclgpl**  | A qué partido se siente más cercano, Polonia                                                                                              |                                   Política                                   |
