Juego,Dim_1,Dim_2,Dim_3,Dim_4
Pacman,0.0,2.4222198,2.3188546,2.6349366
Donkey Kong,0.0,2.2901354,2.9854124,2.3953326
Tetris,0.0,2.3557336,2.005572,2.4487417
Super Mario Bros,0.34384534,0.79378617,1.234731,1.1092912
The Legend of Zelda,0.17636552,1.646754,1.4578496,1.7845006
Indiana Jones y la Última Cruzada,0.13386142,1.8346853,1.7327545,2.2465992
SimCity,0.0,3.3430173,2.6836135,2.6161563
Super Mario World,0.34384534,0.79378617,1.234731,1.1092912
Street Fighter 2: The World Warrior,0.0,0.0075748954,1.2771136,0.0
Doom,1.27624,0.2599668,0.0,0.0
Mortal Kombat,0.0,0.08345155,1.0828556,0.0
Super Metroid,0.7079707,0.46712166,0.5915207,1.0230138
Warcraft II: Las mareas de la oscuridad,0.0,0.0,0.0,0.34251836
Resident Evil,0.8218264,0.0,0.0,0.20911993
Gran Turismo,0.0,1.318234,2.2754786,0.6055874
Final Fantasy VII,1.0721096,0.0,0.0,0.112400845
Half-Life 2,1.6166567,0.0,0.0,0.0
Grand Theft Auto: San Andreas,1.4092808,0.0,0.0,0.07463221
World of Warcraft,0.0,0.0,0.0,0.0
Resident Evil 4,1.1622431,0.0,0.0,0.0
The Elder Scrolls IV: Oblivion,1.0866666,0.0,0.0,0.0
BioShock,1.2794853,0.0,0.0,0.0
Grand Theft Auto IV,1.4092808,0.0,0.0,0.07463221
Minecraft,0.0,0.0,0.0,0.0
Read Dead Redemption,0.0,0.0,0.0,0.0
The Elder Scrolls V: Skyrim,1.0866666,0.0,0.0,0.0
The Walking Dead: The Game,1.369619,0.0,0.0,0.0
Grand Theft Auto V,0.0,0.0,0.0,0.0
Dragon Age: Inquisition,0.0,0.022565281,0.0,0.0
The Witcher 3: Wild Hunt,1.0721096,0.0,0.0,0.112400845
Overwatch,0.0,0.0,0.0,0.0
The Legend of Zelda: Breath of the Wild,1.4442493,0.47556248,0.0,0.0
Fortnite,0.0,0.26182255,0.0,0.0
God of War,1.0721096,0.0,0.0,0.112400845
Sekiro: Shadows Die Twice,0.8250719,0.0,0.0,0.0
The Last of Us Parte 2,1.4092808,0.0,0.0,0.07463221
It Takes Two,0.0,0.51274467,0.8533673,0.0
Baldur’s Gate 3,1.0583394,0.0,0.0,0.0
Elden Ring,0.0,0.0,0.0,0.0
The Legend of Zelda: Tears of the Kingdom,1.2514304,0.0,0.0,0.1254478
